Historical Data;;;;;;;;
From 2023-06-12 to 2025-06-09;;;;;;;;
FR0003500008;;;;;;;;
Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover
29/11/2024;7151.30;7241.07;7147.74;7235.11;7235.11;'0;'0;'3425576282
28/11/2024;7170.91;7207.07;7161.72;7179.25;7179.25;'0;'0;'2467938562
27/11/2024;7150.02;7156.42;7091.15;7143.03;7143.03;'0;'0;'3486097759
26/11/2024;7201.65;7256.78;7185.49;7194.51;7194.51;'0;'0;'3135959174
25/11/2024;7329.48;7333.23;7239.38;7257.47;7257.47;'0;'0;'6296903808
22/11/2024;7250.64;7271.06;7156.23;7255.01;7255.01;'0;'0;'3616653744
21/11/2024;7185.20;7223.60;7131.21;7213.32;7213.32;'0;'0;'2910362979
20/11/2024;7272.73;7280.39;7188.42;7198.45;7198.45;'0;'0;'2790755635
19/11/2024;7287.46;7301.19;7134.83;7229.64;7229.64;'0;'0;'3458630125
18/11/2024;7274.40;7289.78;7234.59;7278.23;7278.23;'0;'0;'2574229153
15/11/2024;7256.58;7319.53;7236.48;7269.63;7269.63;'0;'0;'3418362226
14/11/2024;7247.92;7319.09;7220.05;7311.80;7311.80;'0;'0;'3837673277
13/11/2024;7217.49;7256.47;7158.25;7216.83;7216.83;'0;'0;'3460466947
12/11/2024;7346.72;7365.28;7217.78;7226.98;7226.98;'0;'0;'4331752000
11/11/2024;7395.09;7452.60;7387.52;7426.88;7426.88;'0;'0;'3020383128
'08/11/2024;7440.12;7440.95;7330.21;7338.67;7338.67;'0;'0;'3669745844
'07/11/2024;7373.19;7450.00;7354.28;7425.60;7425.60;'0;'0;'4144725689
'06/11/2024;7444.37;7572.14;7338.35;7369.61;7369.61;'0;'0;'4765575442
'05/11/2024;7377.58;7414.82;7350.00;7407.15;7407.15;'0;'0;'2637659371
'04/11/2024;7386.32;7445.96;7371.71;7371.71;7371.71;'0;'0;'2526717718
'01/11/2024;7364.08;7434.26;7358.20;7409.11;7409.11;'0;'0;'2861965762
31/10/2024;7384.10;7393.25;7315.97;7350.37;7350.37;'0;'0;'5239527177
30/10/2024;7452.10;7470.69;7377.39;7428.36;7428.36;'0;'0;'3538938621
29/10/2024;7593.86;7618.32;7506.52;7511.11;7511.11;'0;'0;'3026704662
28/10/2024;7542.13;7580.68;7494.93;7556.94;7556.94;'0;'0;'2879192557
25/10/2024;7489.87;7518.75;7459.41;7497.54;7497.54;'0;'0;'2700925878
24/10/2024;7527.64;7565.39;7503.02;7503.28;7503.28;'0;'0;'3213997745
23/10/2024;7493.25;7544.70;7468.58;7497.48;7497.48;'0;'0;'2701913927
22/10/2024;7517.03;7545.36;7472.16;7535.10;7535.10;'0;'0;'2692408376
21/10/2024;7579.08;7620.46;7529.68;7536.23;7536.23;'0;'0;'2541563046
18/10/2024;7566.87;7644.05;7566.87;7613.05;7613.05;'0;'0;'3455325949
17/10/2024;7510.13;7624.22;7507.95;7583.73;7583.73;'0;'0;'3355198228
16/10/2024;7420.85;7511.10;7420.85;7492.00;7492.00;'0;'0;'3945398995
15/10/2024;7595.06;7601.53;7511.24;7521.97;7521.97;'0;'0;'4322831127
14/10/2024;7583.48;7613.15;7544.54;7602.06;7602.06;'0;'0;'2485195938
11/10/2024;7530.88;7587.52;7504.04;7577.89;7577.89;'0;'0;'2614977539
10/10/2024;7543.40;7563.36;7515.90;7541.59;7541.59;'0;'0;'2555284755
'09/10/2024;7527.03;7567.58;7504.63;7560.09;7560.09;'0;'0;'2626301390
'08/10/2024;7480.36;7542.05;7475.78;7521.32;7521.32;'0;'0;'3106302188
'07/10/2024;7571.97;7585.33;7509.87;7576.02;7576.02;'0;'0;'3071686163
'04/10/2024;7464.87;7571.76;7460.29;7541.36;7541.36;'0;'0;'3602969061
'03/10/2024;7555.23;7555.24;7458.49;7477.78;7477.78;'0;'0;'3268226378
'02/10/2024;7594.81;7623.32;7548.98;7577.59;7577.59;'0;'0;'3227080492
'01/10/2024;7623.33;7654.58;7547.12;7574.07;7574.07;'0;'0;'3681736545
30/09/2024;7748.07;7763.89;7634.82;7635.75;7635.75;'0;'0;'4864408759
27/09/2024;7762.45;7804.64;7743.88;7791.79;7791.79;'0;'0;'4810169213
26/09/2024;7663.03;7742.09;7652.61;7742.09;7742.09;'0;'0;'4982479437
25/09/2024;7549.26;7595.77;7546.86;7565.62;7565.62;'0;'0;'3056123540
24/09/2024;7608.47;7634.23;7575.36;7604.01;7604.01;'0;'0;'3317283850
23/09/2024;7499.92;7518.77;7456.44;7508.08;7508.08;'0;'0;'3113342973
20/09/2024;7597.52;7603.20;7500.26;7500.26;7500.26;'0;'0;'7088700406
19/09/2024;7557.04;7615.41;7520.08;7615.41;7615.41;'0;'0;'3720177504
18/09/2024;7489.85;7495.31;7444.18;7444.90;7444.90;'0;'0;'2651952717
17/09/2024;7485.14;7523.87;7473.90;7487.42;7487.42;'0;'0;'3159794682
16/09/2024;7432.17;7480.60;7430.06;7449.44;7449.44;'0;'0;'2214089879
13/09/2024;7441.56;7490.84;7438.65;7465.25;7465.25;'0;'0;'2868115153
12/09/2024;7478.91;7484.16;7391.54;7435.07;7435.07;'0;'0;'3105753844
11/09/2024;7419.04;7452.68;7363.31;7396.83;7396.83;'0;'0;'3093944376
10/09/2024;7414.40;7476.54;7386.53;7407.55;7407.55;'0;'0;'2883480221
'09/09/2024;7376.72;7445.05;7369.90;7425.26;7425.26;'0;'0;'2608828269
'06/09/2024;7424.09;7466.14;7341.93;7352.30;7352.30;'0;'0;'3544106412
'05/09/2024;7464.28;7498.08;7431.96;7431.96;7431.96;'0;'0;'3433527287
'04/09/2024;7490.10;7530.83;7482.40;7500.97;7500.97;'0;'0;'3136435951
'03/09/2024;7659.81;7671.53;7564.99;7575.10;7575.10;'0;'0;'2541018794
'02/09/2024;7628.86;7649.10;7572.77;7646.42;7646.42;'0;'0;'1752443244
30/08/2024;7645.53;7693.82;7630.95;7630.95;7630.95;'0;'0;'3952653900
29/08/2024;7577.17;7644.68;7576.36;7640.95;7640.95;'0;'0;'2182501006
28/08/2024;7587.47;7611.92;7577.67;7577.67;7577.67;'0;'0;'2105162198
27/08/2024;7601.27;7625.08;7565.78;7565.78;7565.78;'0;'0;'1926284118
26/08/2024;7578.02;7608.32;7577.63;7590.37;7590.37;'0;'0;'1322562198
23/08/2024;7544.73;7583.50;7534.30;7577.04;7577.04;'0;'0;'2121381610
22/08/2024;7527.96;7568.63;7523.53;7524.11;7524.11;'0;'0;'1736117038
21/08/2024;7486.91;7530.48;7486.91;7524.72;7524.72;'0;'0;'1935920983
20/08/2024;7518.70;7531.70;7481.67;7485.73;7485.73;'0;'0;'1992688743
19/08/2024;7445.31;7519.86;7444.72;7502.01;7502.01;'0;'0;'2209693948
16/08/2024;7442.30;7460.33;7421.48;7449.70;7449.70;'0;'0;'2977037805
15/08/2024;7356.07;7437.34;7318.14;7423.37;7423.37;'0;'0;'2387668293
14/08/2024;7330.16;7333.36;7295.89;7333.36;7333.36;'0;'0;'2322347161
13/08/2024;7277.70;7282.85;7222.08;7275.87;7275.87;'0;'0;'2137904026
12/08/2024;7296.84;7307.45;7234.20;7250.67;7250.67;'0;'0;'2091914797
'09/08/2024;7259.70;7319.51;7233.69;7269.71;7269.71;'0;'0;'2184277513
'08/08/2024;7223.01;7262.08;7168.99;7247.45;7247.45;'0;'0;'2444988781
'07/08/2024;7161.94;7287.85;7145.88;7266.01;7266.01;'0;'0;'3837388799
'06/08/2024;7160.07;7184.29;7070.02;7130.04;7130.04;'0;'0;'3756970863
'05/08/2024;7099.59;7158.60;7029.91;7148.99;7148.99;'0;'0;'4889072835
'02/08/2024;7330.60;7350.29;7227.79;7251.80;7251.80;'0;'0;'4668333197
'01/08/2024;7478.14;7487.12;7358.09;7370.45;7370.45;'0;'0;'3906890965
31/07/2024;7565.10;7584.49;7518.47;7531.49;7531.49;'0;'0;'4437486687
30/07/2024;7461.61;7501.56;7450.93;7474.94;7474.94;'0;'0;'2651830725
29/07/2024;7547.45;7547.64;7429.43;7443.84;7443.84;'0;'0;'2596601965
26/07/2024;7444.41;7526.27;7427.47;7517.68;7517.68;'0;'0;'3421514057
25/07/2024;7416.70;7430.94;7341.25;7427.02;7427.02;'0;'0;'4178498134
24/07/2024;7500.67;7539.95;7464.10;7513.73;7513.73;'0;'0;'3329947934
23/07/2024;7628.02;7661.77;7572.98;7598.63;7598.63;'0;'0;'2594142953
22/07/2024;7573.41;7650.93;7566.54;7622.02;7622.02;'0;'0;'2629099257
19/07/2024;7565.88;7570.33;7513.66;7534.52;7534.52;'0;'0;'4246083445
18/07/2024;7606.24;7653.22;7559.10;7586.55;7586.55;'0;'0;'3125177456
17/07/2024;7556.13;7603.46;7524.88;7570.81;7570.81;'0;'0;'2835492473
16/07/2024;7583.50;7603.42;7556.55;7580.03;7580.03;'0;'0;'2309997608
15/07/2024;7682.34;7712.85;7618.73;7632.71;7632.71;'0;'0;'2544645947
12/07/2024;7664.94;7737.16;7659.09;7724.32;7724.32;'0;'0;'2823862685
11/07/2024;7613.09;7645.98;7577.00;7627.13;7627.13;'0;'0;'2731714983
10/07/2024;7525.18;7580.12;7487.39;7573.55;7573.55;'0;'0;'2649795567
